sintoma,frecuencia
sonido respiratorio ruidoso presente tanto en la inspiración como en la espiración por obstrucción fija.,1
submental.,1
supraclavicular visible debido al aumento del trabajo respiratorio.,1
sésil,1
síntoma constitucional común en fases prodrómicas,1
sólidos.,1
tiraje intercostal,1
tumefacción profunda,1
usualmente posterolateral.,1
vasculitis sistémica reportada como manifestación extrahepática del hbv.,1
úlceras pequeñas (80% de los casos) que curan sin dejar cicatriz en 7-10 días.,1
úlceras profundas,1
